Column,word,desc,time,lang,pos
1621,muerte,"muerte
                  f.
                  
                  (Noun)
                  ""death""
               
                    10th cent. From Latin mortem, accusative case of mors 'id.'
                    From Proto-Italic *morti- 'id.' From Proto-Indo-European *mr̥-ti- ""death,"" but originally ""disappearance."" From *mer- ""to disappear"" (see morir).
                 

Indo-European




Romance
Asturian muerte, Portuguese morte, Galician morte, Catalan mort, French mort, Italian morte, Aromanian moarti, Romanian moarte, Sardinian molte


Balto-Slavic
Old Church Slavonic sъmrьtь ""death,"" Russian smert' 'id.,' Czech smrt 'id.,' Polish śmierć 'id.,' Slovene smr̀t 'id.,' Lithuanian mirtìs 'id.'

 
Indo-European

 
Romance
Asturian muerte, Portuguese morte, Galician morte, Catalan mort, French mort, Italian morte, Aromanian moarti, Romanian moarte, Sardinian molte
 
Balto-Slavic
Old Church Slavonic sъmrьtь ""death,"" Russian smert' 'id.,' Czech smrt 'id.,' Polish śmierć 'id.,' Slovene smr̀t 'id.,' Lithuanian mirtìs 'id.'",10th cent.,Latin,Noun
1622,muerto (1),"muerto (1)
                  
                  
                  (Adjective)
                  ""dead""
               
                    10th cent. From Latin murtuus 'id.' Past participle of mori ""to die"" (see morir).",10th cent.,Latin,Adjective
1623,muerto (2),"muerto (2)
                  
                  
                  (Noun)
                  ""dead person""
               
                    10th cent. From Latin mortuus 'id.' Old Latin mortuos.
                    From Proto-Italic *mortwo- 'id.' From Proto-Indo-European *mr̥-t-u̯o 'id.,' but the original form was likely *mr̥-to- 'id.
                 

Indo-European




Italic
Venetic murtuvoi ""to the dead""

 
Indo-European

 
Italic
Venetic murtuvoi ""to the dead""",10th cent.,Latin,Noun
1624,mujer,"mujer
                  f.
                  
                  (Noun)
                  ""woman""
               
                    11th cent. Old Spanish muller. 12th cent. Old Spanish mugier, muger. From Latin mulier 'id.' Possibly a comparative of mollis ""soft,"" ""weak"" but see de Vaan (2014) for a discussion of this argument's serious problems. If not connected to mollis, then of unknown origin. For a continued etymology of mollis, see muelle.
                    
                 

Indo-European




Romance
Asturian muyer, Portuguese mulher, Galician muller, Catalan muller, Italian moglie, Aromanian muljari, Romanian muiere, Sardinian mugere

 
Indo-European

 
Romance
Asturian muyer, Portuguese mulher, Galician muller, Catalan muller, Italian moglie, Aromanian muljari, Romanian muiere, Sardinian mugere",11th cent.,Old Spanish,Noun
1625,mundo,"mundo
                  m.
                  
                  (Noun)
                  ""world""
               
                    12th cent. From Latin mundus 'id.' Ultimately of unknown origin. According to de Vaan (2014), a connection to Etruscan munθ- ""cannot be established as long as its meaning is unknown.""
                    
                 

Indo-European




Romance
Asturian mundu, Portuguese mundo, Galician mundo, Catalan món, French monde, Italian mondo, Sardinian mundhu

 
Indo-European

 
Romance
Asturian mundu, Portuguese mundo, Galician mundo, Catalan món, French monde, Italian mondo, Sardinian mundhu
 
Tyrsenian
munθ-?, meaning unknown",12th cent.,Latin,Noun
1626,muñir,"muñir
                  
                  
                  (Verb)
                  to summon
               
                    From Latin monere ""to warn,"" ""to remind.""
                    From Proto-Italic *mon-eje- ""to warn,"" ""to remind."" From Proto-Indo-European *mon-ei̯e- 'id.'
                 

Indo-European




Romance
Portuguese monir


Celtic
Old Irish muinethar ""to think""


Hellenic
Ancient Greek μαίνομαι (maínomai) ""I am angry""


Indo-Iranian
Sanskrit mānyáti ""he honors,"" Old Avestan mānaiia- ""to make think""

 
Indo-European

 
Romance
Portuguese monir
 
Celtic
Old Irish muinethar ""to think""
 
Hellenic
Ancient Greek μαίνομαι (maínomai) ""I am angry""
 
Indo-Iranian
Sanskrit mānyáti ""he honors,"" Old Avestan mānaiia- ""to make think""",No Time Found,Latin,Verb
1627,mur,"mur
                  m.
                  
                  (Noun)
                  (archaic) ""mouse""
               
                    13th cent. From Latin murem, accusative of mus 'id.'
                    From Proto-Italic *mūs 'id.' From Proto-Indo-European *muHs 'id.'
                 

Indo-European




Romance
Asturian mure, Portuguese muro


Germanic
Old Norse mús ""mouse,"" ""biceps,"" Old High German mūs Old Saxon mūs 'id.,' Old English mūs 'id.' (English mouse)


Albanian
Albanian mī ""mouse""


Balto-Slavic
Old Church Slavonic myšь ""mouse,"" Russian myš'  'id.,' Czech myš 'id.,' Slovene mìš 'id.'


Hellenic
Ancient Greek μῦς (mûs) ""mouse""


Armenian
Armenian mikn ""mouse""


Indo-Iranian
Sanskrit mū́ṣ- ""mouse,"" ""rat,"" Young Avestan mūš-, name of a Pairika


Tocharian
B maścītse ""mouse,"" ""rat""

 
Indo-European

 
Romance
Asturian mure, Portuguese muro
 
Germanic
Old Norse mús ""mouse,"" ""biceps,"" Old High German mūs Old Saxon mūs 'id.,' Old English mūs 'id.' (English mouse)
 
Albanian
Albanian mī ""mouse""
 
Balto-Slavic
Old Church Slavonic myšь ""mouse,"" Russian myš'  'id.,' Czech myš 'id.,' Slovene mìš 'id.'
 
Hellenic
Ancient Greek μῦς (mûs) ""mouse""
 
Armenian
Armenian mikn ""mouse""
 
Indo-Iranian
Sanskrit mū́ṣ- ""mouse,"" ""rat,"" Young Avestan mūš-, name of a Pairika
 
Tocharian
B maścītse ""mouse,"" ""rat""",13th cent.,Latin,Noun
1629,musa,"musa
                  f.
                  
                  (Noun)
                  ""Muse;"" ""inspiration""
               
                    15th cent. borrowing from Latin Musa 'id.,' from Ancient Greek Μοῦσα ‎(Moûsa). 
                    Its origins are hazy. Possibly from Proto-Indo-European *mondh-i̯h2 ""the wise one"" as an appellation for a Muse. In which case, the name stretches back to an original root *men- ""to think"" (see mente). But Beekes (2014) notes, the word with its difficult origin may just as well be a loan from a Pre-Greek source.",15th cent.,Latin,Noun
1630,música,"música
                  f.
                  
                  (Noun)
                  ""music""
               
                    13th cent. From Latin musica 'id.,' borrowed from Ancient Greek μουσική ‎(mousiké) ""art,"" originally the art of the Muses. Part of a longer phrase μουσική ‎τέχνη (mousiké tékhne) ""Muse's art."" For a continued etymology of μουσική ‎(mousiké) and the name Muse, see musa.
                    
                 

Indo-European




Romance
Portuguese música, Galician música, Catalan música, French musique, Italian musiche, Romanian muzică

 
Indo-European

 
Romance
Portuguese música, Galician música, Catalan música, French musique, Italian musiche, Romanian muzică",13th cent.,Latin,Noun
1631,muy,"muy
                  
                  
                  (Adverb)
                  ""very""
               
                    10th cent. Old Spanish muit. Apocapation of muito (see mucho). It was used in variation with much(o) until the 15th cent.",10th cent.,Old Spanish,Adverb
1632,nacer,"nacer
                  
                  
                  (Verb)
                  ""to be born;"" ""to sprout""
               
                    10th cent. From Vulgar Latin *nascere, from Latin nasci 'id.' Old Latin gnasci.
                    From Proto-Italic *gnāsk-e/o- 'id.' From Proto-Indo-European *ǵn̥h1-sḱe/o- 'id.' From *ǵenh1- ""to produce,"" ""to birth"" and inchoative suffix *-sḱe/o- (see -ecer).
                 

Indo-European




Romance
Asturian nacer, Portuguese nascer, Galician nacer, Catalan nàixer, French naître, naitre, Italian nascere,  Aromanian nascu, Aromanian naște, Sardinian naschere


Italic
Paelignian cnatois ""to the son""


Celtic
Gaulish Cintu-gnātus ""firstborn,"" Middle Welsh gnawt ""daughter,


Germanic
Gothic -kunds ""born of,"" Old Norse kundr ""son,"" Old English cund ""born,"" heofon-kund ""heaven-born,"" ""of divine descent""


Hellenic
Ancient Greek κασίγνητος (kasígnetos) ""sibling,"" ""cousin""


Indo-Iranian
Sanskrit jātá- ""born man,"" Avestan zāta- ""born""

 
Indo-European

 
Romance
Asturian nacer, Portuguese nascer, Galician nacer, Catalan nàixer, French naître, naitre, Italian nascere,  Aromanian nascu, Aromanian naște, Sardinian naschere
 
Italic
Paelignian cnatois ""to the son""
 
Celtic
Gaulish Cintu-gnātus ""firstborn,"" Middle Welsh gnawt ""daughter,
 
Germanic
Gothic -kunds ""born of,"" Old Norse kundr ""son,"" Old English cund ""born,"" heofon-kund ""heaven-born,"" ""of divine descent""
 
Hellenic
Ancient Greek κασίγνητος (kasígnetos) ""sibling,"" ""cousin""
 
Indo-Iranian
Sanskrit jātá- ""born man,"" Avestan zāta- ""born""",10th cent.,Vulgar Latin,Verb
1633,nación,"nación
                  f.
                  
                  (Noun)
                  ""nation""
               
                    15th cent. From Latin nationem, accusative of natio 'id.' Literally meaning ""birth,"" as in one's birthland. From nasci ""to be born"" (see nacer).
                    
                 

Indo-European




Romance
Portuguese nação, French nation, Italian nazione, Romanian națiune

 
Indo-European

 
Romance
Portuguese nação, French nation, Italian nazione, Romanian națiune",15th cent.,Latin,Noun
1634,nacional,"nacional
                  
                  
                  (Adjective)
                  ""national""
               
                    15th cent. From nación.
                    
                 

Indo-European




Romance
Portuguese nação, French nation, Italian nazione, Romanian națiune

 
Indo-European

 
Romance
Portuguese nação, French nation, Italian nazione, Romanian națiune",15th cent.,French,Adjective
1635,nada,"nada
                  f.
                  
                  (Noun)
                  ""nothing""
               
                    11th cent. From Vulgar Latin nata ""nothing,"" ""little thing."" Note an Old Spanish phrase cosa nada ""little thing"" (10th cent.). From the Latin phrase res nata ""the question at hand"" (but more literally, ""the thing born""). For further etymology of nata, see nacer.",11th cent.,Vulgar Latin,Noun
1636,nadar,"nadar
                  
                  
                  (Verb)
                  ""to swim""
               
                    11th cent. From Latin natare 'id.,' from nare ""to swim"" with a frequentive suffix -tare (see note under faltar).
                    Latin nare is from Proto-Italic *(s)nā-je/o- 'id.' From Proto-Indo-European *sneh2-i̯e/o- 'id.,' from the root *sneh2- of the same meaning.
                 

Indo-European




Romance
Asturian nadar, Portuguese nadar, Galician nadar, Catalan nedar, Italian nuotare,  Aromanian anot, Romanian înota, Sardinian anatare


Celtic
Old Irish snaïd ""to swim,"" Middle Welsh nawf ""swimming,"" Middle Breton neuff 'id.'


Hellenic
Ancient Greek νήχω (nékho) ""I swim""


Indo-Iranian
Sanskrit snātas ""he bathes,"" Young Avestan fra-snaiia- ""to wash""


Tocharian
B nāsk- ""to swim""

 
Indo-European

 
Romance
Asturian nadar, Portuguese nadar, Galician nadar, Catalan nedar, Italian nuotare,  Aromanian anot, Romanian înota, Sardinian anatare
 
Celtic
Old Irish snaïd ""to swim,"" Middle Welsh nawf ""swimming,"" Middle Breton neuff 'id.'
 
Hellenic
Ancient Greek νήχω (nékho) ""I swim""
 
Indo-Iranian
Sanskrit snātas ""he bathes,"" Young Avestan fra-snaiia- ""to wash""
 
Tocharian
B nāsk- ""to swim""",11th cent.,Latin,Verb
1637,nadie,"nadie
                  
                  
                  (Indefinite Pronoun)
                  ""no one""
               
                    12th cent. Old Spanish nadi. The shift from -i to -ie was under influence of Old Spanish otri, otrie, otrien ""somebody else"" (see also otro). From Latin nati 'id.,' part of a larger phrase homines nati ""no one"" (but lit. ""men born""), from an ancient Latin expression homines nati non fecerunt ""born men did not do it."" According to Malkiel (1945), use of the phrase was endemic to central Iberia.
                    
                 
Variants
Old Spanish nade ""no one,"" naide 'id.,' naiden 'id.'
 

Indo-European




Romance
Old Aragonese nadi, Old Leonese nadi, Ladino naidi

 
Indo-European

 
Romance
Old Aragonese nadi, Old Leonese nadi, Ladino naidi",12th cent.,Old Spanish,Pronoun
1638,naranja,"naranja
                  f.
                  
                  (Noun, Adjective)
                  ""orange""
               
                    14th cent. The adjectival sense was a semantic extension of the fruit. From Arabic nāranj ""orange,"" borrowed from Persian nārang 'id.,' itself borrowed from Sanskrit nāraṅga ""orange tree.""
                    Of unknown origin.
                 
                  Also the origin of Naranjo and Naranco, two mountain areas in Oviedo, probably so-called to reference their orange color. Also the mountain peak Naranjo/Naranco de Bulnes, a mountain peak in Asturias named by German geologist Wilhelm Schulz in 1855, probably based on its orange color (its original name is Picu Urriellu).
                 

Indo-European




Romance
Asturian naranxa, (Fernán Coronas) llaranxa, Portuguese  laranja, Catalan taronja

 
Indo-European

 
Romance
Asturian naranxa, (Fernán Coronas) llaranxa, Portuguese  laranja, Catalan taronja",14th cent.,Arabic,Adjective
1639,nariz,"nariz
                  f.
                  
                  (Noun)
                  ""nose""
               
                    12th cent. Originally meaning ""nostril."" From Vulgar Latin *naricæ ""nostrils,"" from Latin naris ""nostril.""
                    From Proto-Italic *nās-i- 'id.' From Proto-Indo-European *Hneh2-s- 'id.' From a root *Hneh2- ""to breathe"" (whence alma).
                 

Indo-European




Romance
Asturian nariz, Portuguese nariz, Galician nariz, Catalan nariu, French narine, Italian narice,  Aromanian nare, Romanian nară, Sardinian nare


Germanic
Old Norse nǫs ""nostril,"" Old High German nasa ""nose,"" Old Saxon nasa-druppo ""cold,"" Old English nasu ""nose"" (English nose)


Balto-Slavic
Church Slavic nosъ ""nose,"" Russian nos' 'id.,' Czech nos 'id.,' Polish nos 'id.,' Slovene nọ̑s 'id.,' Old Prussian nozy 'id.,' Lithuanian nósis 'id.,' Latvian nãss 'id.'


Indo-Iranian
Sanskrit nas- ""nose,"" Young Avestan nā̊ŋha ""nose,"" note that the word is in the dual

 
Indo-European

 
Romance
Asturian nariz, Portuguese nariz, Galician nariz, Catalan nariu, French narine, Italian narice,  Aromanian nare, Romanian nară, Sardinian nare
 
Germanic
Old Norse nǫs ""nostril,"" Old High German nasa ""nose,"" Old Saxon nasa-druppo ""cold,"" Old English nasu ""nose"" (English nose)
 
Balto-Slavic
Church Slavic nosъ ""nose,"" Russian nos' 'id.,' Czech nos 'id.,' Polish nos 'id.,' Slovene nọ̑s 'id.,' Old Prussian nozy 'id.,' Lithuanian nósis 'id.,' Latvian nãss 'id.'
 
Indo-Iranian
Sanskrit nas- ""nose,"" Young Avestan nā̊ŋha ""nose,"" note that the word is in the dual",12th cent.,Vulgar Latin,Noun
1640,natura,"natura
                  f.
                  
                  (Noun)
                  ""nature""
               
                    12th cent. From Latin natura ""nature,"" originally referring to the nature of a person. More literally rendered ""concerning one's birth."" From nasci ""to be born"" (see nacer).
                    
                 

Indo-European




Romance
Portuguese natura, French nature, Italian natura, Romanian natură

 
Indo-European

 
Romance
Portuguese natura, French nature, Italian natura, Romanian natură",12th cent.,Latin,Noun
1641,natural,"natural
                  
                  
                  (Adjective, Noun)
                  ""natural;"" ""native (person);"" (m.) (temperment) ""nature""
               
                    12th cent. An adjectival from Latin naturalis ""natural,"" from natura ""nature"" (see natura).",12th cent.,Latin,Noun
1643,nave,"nave
                  f.
                  
                  (Noun)
                  ""ship""
               
                    In 10th cent. derivation naveta. First direct attestation is 12th cent. From Latin navis 'id.'
                    From Proto-Italic *nāw- 'id.' From Proto-Indo-European *neh2-u̯- 'id.' From the root *neh2- ""to swim"" (see nadar).
                 

Indo-European




Romance
Asturian nave, Portuguese nave, Galician nave, Catalan nau, French nef, Italian nave, Aromanian nai, Romanian naie, Sardinian nae


Celtic
Old Irish náu ""ship,"" Middle Welsh noe ""bowl,"" Middle Breton neau ""vase""


Germanic
Old Norse nór ""ship,"" Norwegian no ""wooden bowl,"" Old English nōwend ""skipper""


Hellenic
Ancient Greek ναῦς (naûs) ""ship""


Armenian
Armenian naw ""boat""


Indo-Iranian
Sanskrit náu- ""ship,"" Young Avestan nāuu(a)iia- ""crossable by ship""

 
Indo-European

 
Romance
Asturian nave, Portuguese nave, Galician nave, Catalan nau, French nef, Italian nave, Aromanian nai, Romanian naie, Sardinian nae
 
Celtic
Old Irish náu ""ship,"" Middle Welsh noe ""bowl,"" Middle Breton neau ""vase""
 
Germanic
Old Norse nór ""ship,"" Norwegian no ""wooden bowl,"" Old English nōwend ""skipper""
 
Hellenic
Ancient Greek ναῦς (naûs) ""ship""
 
Armenian
Armenian naw ""boat""
 
Indo-Iranian
Sanskrit náu- ""ship,"" Young Avestan nāuu(a)iia- ""crossable by ship""",10th cent.,Latin,Noun
1644,navidad,"navidad
                  f.
                  
                  (Noun)
                  ""Christmas""
               
                    Early 13th cent. Old Spanish nadvidad, from natividad. From Latin nativus ""born,"" from nascor ""to be born"" (see nacer) and -ivus (see -ivo).
                    
                 

Indo-European




Romance
French naïf, natif, Italian nativo, Romanian nativ

 
Indo-European

 
Romance
French naïf, natif, Italian nativo, Romanian nativ",13th cent.,Old Spanish,Noun
1645,necesario,"necesario
                  
                  
                  (Adjective)
                  ""necessary""
               
                    13th cent. From Latin necessarius 'id.,' formed from necesse ""necessary"" and -arius, an adjective-forming suffix (see -ario). Necesse derives from ne- ""not"" and cesse ""avoiding.""
                    Hypothetically, cesse is from *ced-tis ""avoidable,"" with the first element is from the verb cedere ""to withdraw"" (see ceder). While every linguist connects cesse with cedere in some way, the precise path the word took is unclear (see de Vann (2014) for further discussion).
                 

Indo-European




Romance
French nécessaire, Italian necessario

 
Indo-European

 
Romance
French nécessaire, Italian necessario",13th cent.,Latin,Adjective
1646,necesitar,"necesitar
                  
                  
                  (Verb)
                  ""to need;"" ""to necessitate""
               
                    17th cent. From Medieval Latin necessitare 'id.,' a verb formed from Latin necessitas ""necessity,"" from necesse ""necessary"" (see necesario for further etymology of necesse) and -itas, a noun-forming suffix indicating a state of being (see -edad).
                    
                 
Nesitar, colloquial in Aragon and Latin America, probably dates back to a Medieval haplology.
                 

Indo-European




Romance
French nécessité, Italian necessità

 
Indo-European

 
Romance
French nécessité, Italian necessità",17th cent.,Latin,Verb
1647,negociar,"negociar
                  
                  
                  (Verb)
                  ""to negotiate""
               
                    Late 15th cent. From Latin negotiare 'id.' From negotium ""business"" (see negocio).
                    
                 

Indo-European




Romance
Portuguese negociar, Catalan negociar, French négocier, Italian negoziare, Romanian neguța

 
Indo-European

 
Romance
Portuguese negociar, Catalan negociar, French négocier, Italian negoziare, Romanian neguța",15th cent.,Latin,Verb
1648,negocio,"negocio
                  m.
                  
                  (Noun)
                  ""business""
               
                    13th cent. From Latin negotium 'id.,' a compound of nec ""not"" (see ni) and otium ""leisure"" (see ocio).
                    
                 

Indo-European




Romance
Asturian negociu, Portuguese negócio, Catalan negoci, French négoce, Italian negozio, Romanian negoț

 
Indo-European

 
Romance
Asturian negociu, Portuguese negócio, Catalan negoci, French négoce, Italian negozio, Romanian negoț",13th cent.,Latin,Noun
1649,negro (1),"negro (1)
                  
                  
                  (Noun)
                  ""black (person)""
               
                    From Latin nigrum, accusative of niger ""black (person)"" but the sense of niger as an abstract color is first (see negro (2)).
                    
                 
                  As a surname, it follows a tradition dating to Roman times; given to people black or dark of skin.
                 

Indo-European




Romance
Asturian negru, Portuguese negro, Galician negro, Catalan negre, French nègre, Italian negro,  Aromanian negru, Romanian negru, Sardinian négru

 
Indo-European

 
Romance
Asturian negru, Portuguese negro, Galician negro, Catalan negre, French nègre, Italian negro,  Aromanian negru, Romanian negru, Sardinian négru",No Time Found,Latin,Noun
1650,negro (2),"negro (2)
                  
                  
                  (Adjective, Noun)
                  ""black""
               
                    12th cent. From Latin nigrum, accusative of niger 'id.'
                    Of unknown origin. Possibly related to Tocharian B ñakre ""darkness."" If so, an ancestral word *ni̯g(h)-ro- or *ni̯ǵ(h)-ro- 'id.' is reconstructed in Proto-Indo-European by Isebaert (1977).
                 
                  As a surname, it was given to people with black hair or beards, but see also negro (1).
                 

Indo-European




Romance
Asturian negru, Portuguese negro, Galician negro, Catalan negre, French nègre, Italian negro,  Aromanian negru, Romanian negru, Sardinian négru

 
Indo-European

 
Romance
Asturian negru, Portuguese negro, Galician negro, Catalan negre, French nègre, Italian negro,  Aromanian negru, Romanian negru, Sardinian négru",12th cent.,Latin,Noun
1651,Némesis,"Némesis
                  f.
                  
                  (Noun)
                  Goddess of retribution.
               
                    From Latin Nemesis 'id.' Taken from the Ancient Greek Νέμεσις (Némesis) 'id.,' which as a name comes from the verb νέμω (némo) ""I distribute.""
                    From Proto-Indo-European *nem- ""to distribute"" (of the same origin as número).
                 

Indo-European




Germanic
Gothic niman ""to take,"" Old Norse nema 'id.,' Old High German neman 'id.,' Old English niman 'id.' (English nim)


Balto-Slavic
Latvian nemt ""take""

 
Indo-European

 
Germanic
Gothic niman ""to take,"" Old Norse nema 'id.,' Old High German neman 'id.,' Old English niman 'id.' (English nim)
 
Balto-Slavic
Latvian nemt ""take""",No Time Found,Latin,Noun
1652,nene,"nene
                  
                  
                  (Noun)
                  ""child;"" (slang) ""cutey""
               
                    18th cent. Of unknown origin. Probably related to niño and probably by way of reduplication of the first syllable *ne- during the late Vulgar Latin period. A time when <i> and <e> were markedly unstable in Iberia when representing short vowels.
                    
                 
Variants
Colunga nenín, nenucu, nenón.",18th cent.,Vulgar Latin,Noun
1653,nervio,"nervio
                  m.
                  
                  (Noun)
                  ""nerve""
               
                    13th cent. Borrowed from Medieval Latin nervium 'id.,' from Latin nervus of the same meaning.
                    From Proto-Italic *nēuro- ""nerve,"" ""sinew."" From Proto-Indo-European *snéh1- 'id.'
                 

Indo-European




Romance
Asturian nerviu, Portuguese nervo, Galician nervio, Catalan nervi, French nerf, Italian nervo


Hellenic
Ancient Greek νεῦρον (neûron) ""sinew""


Armenian
Armenian neard ""sinew""


Indo-Iranian
Sanskrit snā́van ""sinew,"" Young Avestan snāuuarə ""sinews""


Tocharian
B ṣñaura ""sinews""

 
Indo-European

 
Romance
Asturian nerviu, Portuguese nervo, Galician nervio, Catalan nervi, French nerf, Italian nervo
 
Hellenic
Ancient Greek νεῦρον (neûron) ""sinew""
 
Armenian
Armenian neard ""sinew""
 
Indo-Iranian
Sanskrit snā́van ""sinew,"" Young Avestan snāuuarə ""sinews""
 
Tocharian
B ṣñaura ""sinews""",13th cent.,Latin,Noun
1654,nervioso,"nervioso
                  
                  
                  (Adjective)
                  ""nervous""
               
                    Very late 15th cent. From nervio.
                    
                 

Indo-European




Romance
Asturian nerviu, Portuguese nervo, Galician nervio, Catalan nervi, French nerf, Italian nervo

 
Indo-European

 
Romance
Asturian nerviu, Portuguese nervo, Galician nervio, Catalan nervi, French nerf, Italian nervo",15th cent.,Galician,Adjective
1655,ni,"ni
                  
                  
                  (Adverb)
                  ""neither;"" ""not even,"" ""even""
               
                    From Latin nec ""not,"" an apocopated form of neque ""and not,"" from ne ""not"" and -que ""and."" See no and -que respectively for further etymology.
                    
                 

Indo-European




Romance
Asturian nin, Portuguese nem, Galician nin, Catalan ni, French ni, Italian né

 
Indo-European

 
Romance
Asturian nin, Portuguese nem, Galician nin, Catalan ni, French ni, Italian né",No Time Found,Latin,Adverb
1656,nieto,"nieto
                  
                  
                  (Noun)
                  ""grandchild""
               
Nieta, 12th cent; nieto, 11th cent. The feminine nieta is the original form, tracing back to Vulgar Latin nepta ""granddaughter,"" from Latin neptis 'id.'
                    From Proto-Italic *nepti- 'id.' From Proto-Indo-European *h2nep-t-ih1/2 'id.'
 

Indo-European




Balto-Slavic
Old Lithuanian neptė ""granddaughter""


Indo-Iranian
Sanskrit neptī́- ""granddaughter,"" Young Avestan napti- 'id.'

 
Indo-European

 
Balto-Slavic
Old Lithuanian neptė ""granddaughter""
 
Indo-Iranian
Sanskrit neptī́- ""granddaughter,"" Young Avestan napti- 'id.'",12th cent.,Vulgar Latin,Noun
1657,nieve,"nieve
                  f.
                  
                  (Noun)
                  ""snow""
               
                    13th cent. From Vulgar Latin *neve 'id.' From Latin nivem, accusative of nix 'id.'
                    From Proto-Italic *snik- 'id.' A feminine from Proto-Indo-European *sni̯gwh- 'id.'
                 

Indo-European




Romance
Asturian nieve, Portuguese neve, Galician neve, Catalan neu, Italian neve


Celtic
Old Irish snigid ""to snow,"" Middle Welsh nyf ""snow""


Germanic
Gothic snaiws ""snow,"" Old Norse snær 'id.,' Old High German snēo 'id.,' Old Saxon snēo 'id.,' Old English snāw 'id.' (English snow)


Balto-Slavic
Old Church Slavonic sněgь ""snow,"" Russian sneg 'id.,' Czech sníh 'id.,' Polish śnieg 'id.,' Slovene snẹ̑g 'id.,' Old Prussian snaygis 'id.,' Lithuanian sniñga ""it snows,"" Latvian snìegs ""snow""


Hellenic
Ancient Greek νίφειν (níphein) ""to snow""


Indo-Iranian
Sanskrit asnihat ""to lie down,"" Young Avestan snaēža- ""to snow""

 
Indo-European

 
Romance
Asturian nieve, Portuguese neve, Galician neve, Catalan neu, Italian neve
 
Celtic
Old Irish snigid ""to snow,"" Middle Welsh nyf ""snow""
 
Germanic
Gothic snaiws ""snow,"" Old Norse snær 'id.,' Old High German snēo 'id.,' Old Saxon snēo 'id.,' Old English snāw 'id.' (English snow)
 
Balto-Slavic
Old Church Slavonic sněgь ""snow,"" Russian sneg 'id.,' Czech sníh 'id.,' Polish śnieg 'id.,' Slovene snẹ̑g 'id.,' Old Prussian snaygis 'id.,' Lithuanian sniñga ""it snows,"" Latvian snìegs ""snow""
 
Hellenic
Ancient Greek νίφειν (níphein) ""to snow""
 
Indo-Iranian
Sanskrit asnihat ""to lie down,"" Young Avestan snaēža- ""to snow""",13th cent.,Vulgar Latin,Noun
1658,niñeta,"niñeta
                  f.
                  
                  (Noun)
                  (rare) ""pupil (of the eye)""
               
                    Derived from a secondary meaning of niña, meaning the pupil of an eye. Compare Basque nini ""child,"" ""pupil of the eye.""",No Time Found,Basque,Noun
1659,ninguno,"ninguno
                  
                  
                  (Adjective)
                  ""none""
               
                    10th cent. Old Spanish niguno, nenguno. From Latin nec unum ""not one."" For the etymology of nec, see ni; for the etymology of unum, see uno.
                    
                 
Ningun is an apocopation of ninguno, used before masculine singular nouns.
                 

Indo-European




Romance
Portuguese nenhum, Catalan ningú

 
Indo-European

 
Romance
Portuguese nenhum, Catalan ningú",10th cent.,Old Spanish,Adjective
1660,niño,"niño
                  
                  
                  (Noun)
                  ""child""
               
                    12th cent. Old Spanish nino, also in the name Ninno Macellero; 13th cent. niño. From Vulgar Latin *ninnus 'id.'
                    Of unknown origin. Possibly borrowed from a pre-Indo-European language or of nursery origin. Consider also a late Latin word nonnus ""monk"" but also ""elderly person"" (see ñoño).
                 
                  Also the origin of the surname Niño, first given as a nickname and later formalized as a surname.
                 
Variants
Miranda de Duero nino, Colunga nin (< Vulgar Latin *ninus)
 

Indo-European




Romance
Italian nino

 
Indo-European

 
Romance
Italian nino",12th cent.,Old Spanish,Noun
1661,nivel,"nivel
                  m.
                  
                  (Noun)
                  ""level""
               
                    15th cent. Borrowed from Catalan nivell 'id.,' dissimilated from Vulgar Latin *libellum 'id.,' from Latin libra ""balance"" (see libra).
                    
                 

Indo-European




Romance
Portuguese nivel, Galician nivel, Catalan nivell, French niveau, Italian livello, Romanian nivel

 
Indo-European

 
Romance
Portuguese nivel, Galician nivel, Catalan nivell, French niveau, Italian livello, Romanian nivel",15th cent.,Catalan,Noun
1662,-no,"-no
                  
                  Adjective-forming suffix.
                  
                  
               
                    From Latin -nus 'id.'
                    From Proto-Italic *-no- 'id.' From late Proto-Indo-European *-n-ó- 'id.'
                 

Indo-European




Germanic
Gothic -an, Old English -en, Old High German -an, -en, Old Saxon -an


Balto-Slavic
Old Church Slavonic -nъ, -nije, Russian -nyj, -n'e, Czech -ný, -ní, Slovak -ný, Polish -ny, Slovene -n, Bulgarian -n


Hellenic
Ancient Greek -νος ‎(nos)

 
Indo-European

 
Germanic
Gothic -an, Old English -en, Old High German -an, -en, Old Saxon -an
 
Balto-Slavic
Old Church Slavonic -nъ, -nije, Russian -nyj, -n'e, Czech -ný, -ní, Slovak -ný, Polish -ny, Slovene -n, Bulgarian -n
 
Hellenic
Ancient Greek -νος ‎(nos)",No Time Found,Latin,Adjective
1663,no,"no
                  
                  
                  (Adverb)
                  ""no,"" ""not""
               
                    10th cent. Old Spanish non. From Latin non 'id.,"" from Old Latin noenum ""not one,"" from ne ""not"" and oinos ""one"" (see uno). 
                    
                 

Indo-European




Romance
Asturian nun, Portuguese não, Galician non, Catalan no, French non, Italian no, Aromanian nu, Romanian nu, Sardinian no

 
Indo-European

 
Romance
Asturian nun, Portuguese não, Galician non, Catalan no, French non, Italian no, Aromanian nu, Romanian nu, Sardinian no",10th cent.,Old Spanish,Adverb
